Library Plate,Plate well,Library Name,Smiles (leave empty),Code,volume-uL,solvent,concentration-mM,,,
OpenBind_CAR_reagent_control_plate,A1,OpenBind_CAR_reagent_control_plate_DMSO,,Cesium-carbonate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,B1,OpenBind_CAR_reagent_control_plate_DMSO,,XPhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,C1,OpenBind_CAR_reagent_control_plate_DMSO,,HATU,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,D1,OpenBind_CAR_reagent_control_plate_DMSO,,4-Nitrophenylchloroformate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,E1,OpenBind_CAR_reagent_control_plate_DMSO,,DMAP,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,F1,OpenBind_CAR_reagent_control_plate_DMSO,,Diisopropyl-azodicarboxylate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,G1,OpenBind_CAR_reagent_control_plate_DMSO,,Diisopropylethylamine,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,H1,OpenBind_CAR_reagent_control_plate_DMSO,,Dicyclohexylcarbodiimide,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,I1,OpenBind_CAR_reagent_control_plate_DMSO,,Copper(II)-acetate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,J1,OpenBind_CAR_reagent_control_plate_DMSO,,Sodium-triacetoxyborohydride,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,K1,OpenBind_CAR_reagent_control_plate_DMSO,,Potassium-carbonate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,L1,OpenBind_CAR_reagent_control_plate_DMSO,,Sodium-tert-butoxide,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,M1,OpenBind_CAR_reagent_control_plate_DMSO,,NaOH,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,N1,OpenBind_CAR_reagent_control_plate_DMSO,,Oxone,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,O1,OpenBind_CAR_reagent_control_plate_DMSO,,Dicyclohexylphosphinotriisopropylbiphenyl,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,P1,OpenBind_CAR_reagent_control_plate_DMSO,,HBTU,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,A2,OpenBind_CAR_reagent_control_plate_DMSO,,Triethylamine,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,B2,OpenBind_CAR_reagent_control_plate_DMSO,,Triphenylphosphine,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,C2,OpenBind_CAR_reagent_control_plate_DMSO,,Pyridine,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,D2,OpenBind_CAR_reagent_control_plate_DMSO,,Sodium-cyanoborohydride,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,E2,OpenBind_CAR_reagent_control_plate_DMSO,,NaBr,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,F2,OpenBind_CAR_reagent_control_plate_DMSO,,Potassium-phosphate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,G2,OpenBind_CAR_reagent_control_plate_DMSO,,Triphenylphosphine-oxide,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,I2,OpenBind_CAR_reagent_control_plate_DMSO,,Palladium-acetate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,J2,OpenBind_CAR_reagent_control_plate_DMSO,,NaCl,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,K2,OpenBind_CAR_reagent_control_plate_DMSO,,NaI,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,L2,OpenBind_CAR_reagent_control_plate_DMSO,,CsOH,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,M2,OpenBind_CAR_reagent_control_plate_DMSO,,BrettPhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,N2,OpenBind_CAR_reagent_control_plate_DMSO,,BEHT-triflate,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,O2,OpenBind_CAR_reagent_control_plate_DMSO,,Citric-acid,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,A3,OpenBind_CAR_reagent_control_plate_DMSO,,DCDMH,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,B3,OpenBind_CAR_reagent_control_plate_DMSO,,Sodium-phosphate-monobasic,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,C3,OpenBind_CAR_reagent_control_plate_DMSO,,Sodium-phosphate-dibasic,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,D3,OpenBind_CAR_reagent_control_plate_DMSO,,EDCI,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,E3,OpenBind_CAR_reagent_control_plate_DMSO,,Carbonyldiimidazole,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,F3,OpenBind_CAR_reagent_control_plate_DMSO,,Propanephosphonic-acid-cyclic-anhydride,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,G3,OpenBind_CAR_reagent_control_plate_DMSO,,CuBr2,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,H3,OpenBind_CAR_reagent_control_plate_DMSO,,Nitromethane,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,J3,OpenBind_CAR_reagent_control_plate_DMSO,,Bipyridine,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,I3,OpenBind_CAR_reagent_control_plate_DMSO,,SPhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,K3,OpenBind_CAR_reagent_control_plate_DMSO,,RuPhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,L3,OpenBind_CAR_reagent_control_plate_DMSO,,tBuBrettPhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,M3,OpenBind_CAR_reagent_control_plate_DMSO,,APhos-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,N3,OpenBind_CAR_reagent_control_plate_DMSO,,BrettPhos-Pd-G1,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,O3,OpenBind_CAR_reagent_control_plate_DMSO,,P-Cy3-Pd-G3,50,DMSO,500,,,
OpenBind_CAR_reagent_control_plate,A4,OpenBind_CAR_reagent_control_plate_DMSO,,DMSO-2-DMF,50,2% DMF/DMSO,NA,,,
OpenBind_CAR_reagent_control_plate,B4,OpenBind_CAR_reagent_control_plate_DMSO,,DMSO-2-DMA,50,2% DMA/DMSO,NA,,,
OpenBind_CAR_reagent_control_plate,C4,OpenBind_CAR_reagent_control_plate_DMSO,,DMSO-2-toluene,50,2% Toluen/DMSO,NA,,,
OpenBind_CAR_reagent_control_plate,D4,OpenBind_CAR_reagent_control_plate_DMSO,,DMSO-2-pyridine,50,2% Pyridine/DMSO,NA,,,
